Name,Salary
Zacch Pickens,"$1,440,948"
Sydney Brown,"$1,436,110"
Drew Sanders,"$1,433,682"
Troy Hill,"$1,265,000"
Markus Bailey,"$852,174"
Carter Coughlin,"$851,286"
Joshua Williams,"$1,081,565"
Chris Claybrooks,"$849,346"
C.J. Goodwin,"$1,165,000"
Krys Barnes,"$1,035,000"
James Smith-Williams,"$848,175"
Byron Young,"$1,417,178"
Jamien Sherwood,"$958,714"
Ta'Quon Graham,"$957,653"
Caden Sterns,"$952,647"
Tony Fields,"$952,440"
Michael Carter,"$952,232"
Isaiahh Loudermilk,"$950,072"
Dylan Cole,"$1,080,000"
Nicholas Morrow,"$1,155,000"
Brenden Jaimes,"$949,445"
Tommy Doyle,"$948,931"
Darrick Forrest,"$947,768"
Justin Bethel,"$1,317,500"
Kevin Strong,"$1,156,250"
Nate Hobbs,"$945,763"
Zach Harrison,"$1,392,112"
Marte Mapu,"$1,390,927"
Deommodore Lenoir,"$941,218"
Byron Young,"$1,389,167"
Tedarrell Slaton,"$940,130"
Eno Benjamin,"$849,428"
Curtis Bolton,"$1,010,000"
Elijah Campbell,"$1,010,000"
Jonathan Harris,"$952,500"
Jeremiah Ledbetter,
Larrell Murchison,"$952,500"
Tanner Muse,"$1,010,000"
Jonathan Owens,"$1,010,000"
Elijah Riley,"$695,000"
Malcolm Roach,"$1,010,000"
Isaiah Simmons,"$5,166,014"
Casey Toohill,"$846,758"
Logan Woodside,"$952,500"
Bobby Brown,"$1,059,133"
K.J. Britt,"$936,574"
Nick Williams,"$1,230,000"
D.J. Johnson,"$1,375,747"
Talanoa Hufanga,"$930,038"
Adetokunbo Ogundeji,"$930,038"
Avery Williams,"$930,038"
Decobie Durant,"$1,041,085"
YaYa Diaby,"$1,366,353"
Nick Niemann,"$923,501"
Riley Moss,"$1,361,872"
Marlon Tuipulotu,"$918,979"
Trey Hill,"$918,088"
Daiyan Henley,"$1,355,105"
Trenton Simpson,"$1,352,211"
Ji'Ayir Brown,"$1,348,952"
Victor Dimukeje,"$910,465"
Kobie Turner,"$1,347,869"
Damar Hamlin,"$910,119"
Dorian Williams,"$1,368,202"
Terrell Edmunds,"$2,000,000"
Sam Ehlinger,"$902,677"
Isaiah McDuffie,"$902,677"
Israel Mukuamu,"$902,677"
Jordan Battle,"$1,331,254"
Patrick Johnson,"$896,469"
Jonathon Cooper,"$895,168"
